id;Authors;Transform;CorrelationCoefficient;StandardError;Tstatistic;Observations;DegreesofFreedom;NumberofCountries;DependentVariable;Level;PerCapita;GlobalizationType;GlobalizationVariable;TradeGlobalization;FinancialGlobalization;OverallGlobalization;CapitalAccountOpen;CapitalFlows;FinancialOpenness;FDI;PortfolioInvestment;ForeignAssetsLiabilities;EquityMarketLiberalization;BankGlobalization;TradeToGDP;Exports;Imports;AlcalaCiccone;TradeInstrumentGravity;SachsWarner;Tariffs;OtherTradeOpenness;TradeDeJure;CapitalAccountLiberalization;GlobalizationType;AdditionalGlobalization;ControlVariables;LaggedDependentVariable;NonLinearGlobalization;InteractedGlobalization;PanelData;CrossSection;CountryFixedEffects;TimeFixedEffects;StartYear;EndYear;Dummy1870to1914;Dummy1915to1945;Dummy1946to1969;Dummy1970s;Dummy1980s;Dummy1990s;Dummy2000s;Dummy2010s;YearAverage;AdvancedCountriesOnly;DevelopingCountriesOnly;MixofCountries;EuropeOnly;NorthAmericaOnly;AfricaOnly;AsiaOnly;LatinAmericaOnly;ChinaOnly;EconometricStrategy;TacklingEndogeneity;OLS;GMM;RandomEffects;IV2SLS;SUR;OtherEstimator;NonOLS;ShortRun;LongRun;JournalName;YearofPublication;JournalImpactFactor;TopTierJournal;TopTierJournal2;Primary;Education;LaborForce;GovernmentSpending;Geography;FinancialDevelopment;Institutions;NaturalResources;Aid;Democracy;Inflation;CapitalStock;Prior;Crossauthor;IntraNationalStudy;ReviewedJournal;Citations;NumberRegressions
1;Abdullahi et al. 2012;1;0.0000764;7.43E-06;10.28;600;596;30;Real GDP per capita growth;0;1;FinancialGlobalization;FDI inflow;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FinancialGlobalization;1;Exports;0;0;0;1;0;0;0;1990;2009;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;OLS;0;1;0;0;0;0;0;0;1;0;African Journal of Social Sciences;2012;0.0001;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14;18
1;Abdullahi et al. 2012;1;0.0610639;0.012115853;5.04;600;596;30;Real GDP per capita growth;0;1;TradeGlobalization;Exports to GDP;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;TradeGlobalization;1;FDI to GDP;0;0;0;1;0;0;0;1990;2009;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;OLS;0;1;0;0;0;0;0;0;1;0;African Journal of Social Sciences;2012;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14;18
1;Abdullahi et al. 2012;1;0.0000775;7.45E-06;10.4;600;566;30;Real GDP per capita growth;0;1;FinancialGlobalization;FDI inflow;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FinancialGlobalization;1;Exports;0;0;0;1;0;1;0;1990;2009;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;OLS;0;1;0;0;0;0;0;0;1;0;African Journal of Social Sciences;2012;0.0001;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14;18
1;Abdullahi et al. 2012;1;0.0560963;0.01230182;4.56;600;566;30;Real GDP per capita growth;0;1;TradeGlobalization;Exports to GDP;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;TradeGlobalization;1;FDI to GDP;0;0;0;1;0;1;0;1990;2009;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;OLS;0;1;0;0;0;0;0;0;1;0;African Journal of Social Sciences;2012;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14;18
1;Abdullahi et al. 2012;1;0.0000764;7.43E-06;10.28;600;566;30;Real GDP per capita growth;0;1;FinancialGlobalization;FDI inflow;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FinancialGlobalization;1;Exports;0;0;0;1;0;0;0;1990;2009;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;Random Effects;0;0;0;1;0;0;0;1;1;0;African Journal of Social Sciences;2012;0.0001;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14;18
1;Abdullahi et al. 2012;1;0.0610639;0.012115853;5.04;600;566;30;Real GDP per capita growth;0;1;TradeGlobalization;Exports to GDP;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;TradeGlobalization;1;FDI to GDP;0;0;0;1;0;0;0;1990;2009;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;Random Effects;0;0;0;1;0;0;0;1;1;0;African Journal of Social Sciences;2012;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14;18
1;Abdullahi et al. 2012;1;0.0000724;0.00000905;8;300;296;15;Real GDP per capita growth;0;1;FinancialGlobalization;FDI inflow;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FinancialGlobalization;1;Exports;0;0;0;1;0;0;0;1990;2009;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;OLS;0;1;0;0;0;0;0;0;1;0;African Journal of Social Sciences;2012;0.0001;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14;18
1;Abdullahi et al. 2012;1;0.0867007;0.020791535;4.17;300;296;15;Real GDP per capita growth;0;1;TradeGlobalization;Exports to GDP;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;TradeGlobalization;1;FDI to GDP;0;0;0;1;0;0;0;1990;2009;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;OLS;0;1;0;0;0;0;0;0;1;0;African Journal of Social Sciences;2012;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14;18
1;Abdullahi et al. 2012;1;0.0000746;9.13E-06;8.17;300;281;15;Real GDP per capita growth;0;1;FinancialGlobalization;FDI inflow;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FinancialGlobalization;1;Exports;0;0;0;1;0;1;0;1990;2009;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;OLS;0;1;0;0;0;0;0;0;1;0;African Journal of Social Sciences;2012;0.0001;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14;18
1;Abdullahi et al. 2012;1;0.0801675;0.021550403;3.72;300;281;15;Real GDP per capita growth;0;1;TradeGlobalization;Exports to GDP;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;TradeGlobalization;1;FDI to GDP;0;0;0;1;0;1;0;1990;2009;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;OLS;0;1;0;0;0;0;0;0;1;0;African Journal of Social Sciences;2012;0.0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14;18
